,,,1,A Furlong Too Late,6.6,91,2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel
1492,Frothy Redhead,7.3,9,3 scoops Vanilla ice-cream,1/2 glass Club soda,1/2 glass Red wine,Granulated Sugar,,
1493,Mojito #2,6.0,535,3 fresh Mint,2 tsp Sugar,3 tblsp fresh Lemon juice,1 1/2 oz Light rum,Chilled Club soda,
1494,Something Peachie #2,6.0,4,3/4 oz Vodka,3/4 oz Peach schnapps,3/4 oz Triple sec,3 oz Pineapple juice,3 oz Orange juice,
1495,Maèek,6.7,3,3 cl Johnnie Walker,2 cl Campari,1 cl Orange juice,,,
1496,Boilermaker,6.5,170,2 oz Whiskey,10 oz Beer,,,,
1497,Ice Pick #2,8.3,21,1 1/2 oz Vodka,3 1/2 oz Iced tea,,,,
1498,Mad Cow,6.1,36,1 part Kahlua,1 part Cream,1 part 151 proof rum,,,
1499,Hard Core,8.8,18,1 shot Bacardi 151 proof rum,1 shot Everclear,3/4 shot Triple sec,3/4 shot Amaretto,1 Orange,
1500,Williams Explosion,3.8,4,4 cl Vodka,1/2 conserved Pear,4 cl conserved Pear juice,,,
1501,Godhead,7.2,4,1/4 shot Rum,1/4 shot Vodka,1/4 shot Raspberry liqueur,1 dash Lime juice,1 dash 151 proof rum,
1502,Slippery Nipple #1,6.4,278,0.5 oz Bailey's irish cream,0.5 oz Butterscotch schnapps,,,,
1503,Sex on the Beach #2,6.1,97,1/2 oz Vodka,1/2 oz Midori melon liqueur,1/2 oz Chambord raspberry liqueur,3 cl Pineapple juice,,
1504,Boozy Maria,7.5,19,1 shot Peach schnapps,1 glass 7-Up,,,,
1505,Alien Urine Sample,6.1,114,3/4 oz Midori melon liqueur,3/4 oz Peach schnapps,3/4 oz Malibu rum,3/4 oz Creme de Banane,1 splash Club soda,1/2 oz Blue Curacao
1506,Robitussin,7.0,8,1 1/2 oz Cherry vodka,1 1/2 oz Root beer schnapps,,,,
1507,Blueberry Tea,6.0,104,1 oz Amaretto,1 oz Grand Marnier,,,,
1508,Liquid cocaine 8 ball,6.4,168,1 shot Southern Comfort,1 shot Rum,1 shot Amaretto,1 dash Grenadine,,
1509,Killer Kool-Aid,5.8,123,1 1/2 oz Vodka,1/2 oz Peach schnapps,1/2 oz Amaretto,3 oz Cranberry juice,,
1510,All American,6.3,126,1 oz Bourbon,1 oz Southern Comfort,2 oz Coca-Cola,,,
1511,Peach 200,6.5,4,2-3 oz Koskenkorva Peach Vodka,,,,,
1512,410 Gone,nan,0,,,,,,
1513,Mexican Virgin,4.6,9,2 oz Tequila,3 oz cherry Cider,,,,
1514,Liquid Cocaine #2,6.4,300,1/3 Rumple Minze,1/3 Jägermeister,1/3 Bacardi 151 proof rum,,,
1515,Key Largo Kooler,9.1,9,1 oz Key Largo schnapps,1/2 oz Spiced rum,4 oz Orange juice,4 oz Pineapple juice,2 oz Cranberry juice,1/2 oz Bacardi 151 proof rum
1516,Mudslide #2,5.9,112,1/3 Vodka,1/3 Kahlua,1/3 Irish cream,,,
1517,Mike Tyson,8.2,12,2 cl Tia maria,2 cl Jägermeister,2 cl Pernod,,,
1518,Green Cow,6.5,14,,,,,,
1519,Brutal Hammer,5.6,14,5 oz Red wine,7 oz Vodka,,,,
1520,Rangers Rocker,2.8,5,2 oz Vodka,2 oz Dark rum,1 oz White wine,1 oz Water,,
1521,Purple Hooter #1,6.3,162,1/2 oz Chambord raspberry liqueur,1/3 oz 7-Up,1/3 oz Vodka,,,
1522,Scarlet Fever,4.0,5,12-14 oz Absolut Vodka,12-14 oz White rum,6-8 oz dry Gin,6 oz Cranberry juice,,
1524,Stop Light,6.2,52,3 shots Vodka,1 splash Midori melon liqueur,1 splash Orange juice,1 splash Cranberry juice,,
1525,GSM,4.8,22,4 cl Gin,16 cl skimmed Milk,1 tsp Sugar,,,
1528,Dead Nazi,6.3,148,2/3 oz Rumple Minze,2/3 oz Jägermeister,,,,
1529,Green Monster,3.6,7,4 oz Vodka,1 small Pickled pepper,4 Ice,,,
1531,Friar Tuck,8.8,5,1 part Frangelico,1 part Dark Creme de Cacao,2 parts Cream,,,
1532,Tequila Sunrise,6.3,1499,2 measures Tequila,2 dashes Grenadine,,,,
1533,Brown cow,6.4,162,2 measures Kahlua,,,,,
1534,Screaming Orgasm,6.0,725,1 oz Vodka,1 1/2 oz Bailey's irish cream,1/2 oz Kahlua,,,
1535,Poor Man's Mommosa,4.9,41,4 oz Beer,4 oz Orange juice,,,,
1536,Dark Nightmare,8.5,15,3/4 oz Kahlua,1/8 oz Goldschlager,1/8 oz Milk,,,
1537,Keremiki,8.2,4,1/3 oz Bacardi 151 proof rum,1/3 oz Goldschlager,1/3 oz Rumple Minze,,,
1538,Albysjön,6.4,116,2 oz Stefanoffs Vodka,1 oz Fanta,0.5 oz Sprite,0.5 oz Kiwi,,
1539,Danny Q's Aruba Rum Punch,6.4,15,1 oz Dark rum,1 oz Barbados Rum,1 oz Light rum,1 splash Grenadine,2 dashes Bitters,
1542,Beeaauu's Rum and Coke,5.9,47,2 oz Barbados Rum,2 oz Dark rum,1 oz Bacardi 151 proof rum,6 oz Coca-Cola,1/2 oz fresh Lime juice,
1543,Smooth Operator,5.6,7,30 ml Frangelico,15 ml Kahlua,15 ml Bailey's irish cream,1/2 Banana,60 ml Cream,
1544,Pjolter Bay,10.0,1,2 cl Apricot brandy,2 cl Gin,1 cl Grenadine,,,
1545,Graveyard (light),6.8,4,1 or 1/2 pint Triple sec,1 or 1/2 pint Bacardi 151 proof rum,1 or 1/2 pint Vodka,1 or 1/2 pint Gin,1 or 1/2 pint Tequila,
1547,The Constable Shuffle,6.5,4,2 shots Peach schnapps,1 shot Galliano,1/2 bottle West Coast Cooler,1/2 pint Cider,,
1548,King of Denmark,6.8,8,4 parts Pernod,3 parts Blackcurrant cordial,8-10 parts Water,,,
1549,Frozen Mudslide,6.0,428,2 oz Vodka,2 oz Kahlua,2 oz Bailey's irish cream,6 oz Vanilla ice-cream,,
1551,Green Frog,7.4,7,1 part Pisang Ambon,2 parts Sprite,Some drop Lime juice,,,
1552,Brendan's PUnch of happiness,8.7,11,750 ml White rum,250 ml Vodka,1 gal hic berry Fruit punch,,,
1553,Liquid Asphault,5.5,11,3/4 oz Sambuca,3/4 oz Jägermeister,,,,
1554,Russian Brunch,9.3,6,1 part Vodka,1 1/2 part Orange juice,1 part Champagne,,,
1555,StumbleFuck,6.1,20,1/3 oz Jägermeister,1/3 oz Rumple Minze,1/3 oz Aftershock,,,
1556,Christer Petterson,7.8,27,2 cl Vodka,2 cl Bailey's irish cream,,,,
1557,Felix's feast,10.0,21,1 part Bailey's irish cream,1 part Chocolate milk,,,,
1558,Watermelon Crawl,8.3,19,1/3 Southern Comfort,1.5 oz Amaretto,1/3 Watermelon schnapps,,,
1559,Flander's Flake-Out,nan,0,1/4 glass Sambuca,3/4 glass Sarsaparilla,,,,
1560,Sneaky Pete,7.9,15,1 oz Kahlua,1 oz Rye whiskey,4 oz Milk,,,
1562,Brown Pelican,6.8,10,5 oz Apple cider,2 1/2 oz Ginger beer,,,,
1563,Apple Slammer,7.0,15,1 part 7-Up,1 part Apple schnapps,,,,
1564,Pussy Paws,6.0,5,1/2 oz Amaretto,1 part Cranberry juice,2 parts Club soda,Twist of Lime peel,1/2 oz Sour mix,
1565,Manhattan Sweet #2,5.6,45,3 oz Sweet Vermouth,3 oz Bourbon,,,,
1566,Texas Rose,7.9,8,1 jigger Rum,2 jiggers Orange juice,1 jigger Creme de Banane,1 jigger Pineapple juice,,
1567,Frozen Margarita #2,5.8,83,4 oz Limeade,4 oz Tequila,1/3 can Triple sec,,,
1568,The Big Johnson,6.0,9,4 oz Vodka,1 bottle Jack Daniels,3/4 can 7-Up,1 dash Rose's sweetened lime juice,1 dash Grenadine,
1569,Cynar Cocktail,8.4,7,1 oz Sweet Vermouth,1 oz Cynar,1 wedge Orange,,,
1570,Fire in Heaven,5.7,9,1 oz 151 proof rum,1 dash Tabasco sauce,,,,
1571,Lil' Johnson,6.6,7,1/2 Vodka,1/4 Jack Daniels,1/4 Rose's sweetened lime juice,,,
1572,Obadoba,4.0,3,1 gal Milk,10 tsp sweetened Cocoa powder,1 dl Whipped cream,As much as you wish Salt,,
1573,Bacardi Gold & Cola,6.4,69,4 cl Gold rum,16 cl Coca-Cola,1 Lemon,,,
1574,Titty Twister-Rita,8.1,11,3 parts Bacardi 151 proof rum,3 parts Tropicana,1 part Rose's sweetened lime juice,1 part Sweet and sour,3 parts Daiquiri mix,4 cups crushed Ice
1575,Pink Lemonade,9.2,18,1 1/2 oz Absolut Citron,1/2 oz Chambord raspberry liqueur,2 oz Sour mix,,,
1576,Georgian Sunrise,8.3,3,3/4 oz Tequila,1/4 oz Peach schnapps,1/2 oz Strawberry liqueur,3 oz Sweet and sour,,
1577,Præriebål (Norwegian version of Prairie Fire),5.6,18,4 cl Tequila,4 cl Tabasco sauce,,,,
1578,Jamaican Dust,8.5,4,1 oz Light rum,1/2 oz Malibu rum,1/2 oz Pineapple juice,,,
1581,North Polar,5.6,7,1 part Gin,1 part Cointreau,1 part Campari,,,
1582,STP (the motor oil of course),6.2,12,10 oz Scotch,5 oz Vodka,4 oz Maple syrup,,,
1583,Cramit,7.4,19,1 1/2 oz Amaretto,4 oz Cranberry juice,,,,
1584,Utar,6.7,11,1 part Light rum,1 part Dark rum,1 part Lemonade,1 part Bacardi 151 proof rum,1 part Spiced rum,
1585,Gorilla Fart #1,5.8,33,1/2 oz Wild Turkey,1/2 oz Bacardi 151 proof rum,,,,
1586,Patsy mix,5.0,1,1/2 oz Brandy,2 oz pear Cider,,,,
1587,Amaretto Sour,6.3,3102,1 1/2 oz Amaretto,3 oz Sour mix,,,,
1588,Ground Zero,5.1,12,1/4 Bourbon,1/4 Peppermint schnapps,1/4 Vodka,1/4 Kahlua,,
1589,Hawaiian Screw,8.8,21,2 oz Vodka,,,,,
1590,Blue PolarBear,7.9,14,1 part Vodka,1 part chilled blue Peppermint schnapps,dash crushed Ice,,,
1591,Silver Bullet #2,5.6,9,1/2 oz Scotch,1 or 2 oz Vodka,,,,
1592,Rocky Mountain Mother Fucker,6.2,96,1/2 oz Amaretto,1/2 oz Yukon Jack,2 counts Rose's sweetened lime juice,,,
1593,Peanut Butter and Jelly,6.7,58,1/2 oz Chambord raspberry liqueur,1/2 oz Frangelico,,,,
1594,Screaming Viking,6.7,17,2 oz Vodka,1 oz Dry Vermouth,1 oz Lime juice,1 Celery,1 Cucumber,
1595,Wong Tong Cocktail,4.2,6,2 oz Vodka,1 oz Gin,1 oz Dry Vermouth,2 oz Lemonade,2 Maraschino cherry,
1596,Vincent Vega,6.9,24,1/4 Absolut Citron,3/4 Apple juice,,,,
1597,Cuba Libra,6.5,140,1-2 shot Dark rum,Squeeze Lime,Fill with Coca-Cola,,,
1598,Russian Boilermaker,6.6,30,12 oz Beer,1 oz Vodka,,,,
1599,Wild Ass Indian,5.6,51,1 gal Vodka,1 gal Rum,1 gal Scotch,,,
1600,An Arif,7.9,14,1.5 oz Rum,0.5 oz Peach schnapps,2.5 oz Orange juice,1 oz Cranberry juice,2.5 oz Ginger ale,1 tblsp fresh Lemon juice
1601,Kiltlifter,9.1,28,1.5 oz Scotch,1.0 oz Drambuie,2.5 oz Rose's sweetened lime juice,,,
1602,French Sailor,6.0,3,1 part Cointreau,1 part Absolut Citron,1 cube Sugar,,,
1603,D+d lay,7.0,5,1 oz Jägermeister,1 oz Absolut Citron,10 oz Lemonade,,,
1604,Mellon Collie and The Infinite Gladness,6.5,35,30 ml Light rum,30 ml Midori melon liqueur,15 ml Malibu rum,15 ml Chocolate syrup,60 ml Fresh Cream,
1605,Kermit The Frog Piss,6.5,35,1 oz Midori melon liqueur,1/2 oz Malibu rum,2 oz Sweet and sour,Top with 7-Up,,
1606,Gorilla's Puke,3.6,7,1 oz Wild Turkey,1 oz Bacardi 151 proof rum,,,,
1607,Black Martini #1,5.6,8,2/3 oz Gin,1/3 oz Black Sambuca,,,,
1608,Slippery Dick,5.1,47,1 1/2 oz Butterscotch schnapps,2 oz Bailey's irish cream,3-4 oz Half-and-half,,,
1609,Jelly Bean,8.6,9,1 oz Blackberry brandy,1 oz Anis,,,,
1610,Dirty Girl Scout,6.5,269,1 oz White Creme de Menthe,1 oz Vodka,1 oz Kahlua,1 oz Bailey's irish cream,,
1611,Spunky Monkey,7.0,18,2 shots Kahlua,1 shot Amaretto,1/2 cup Half-and-half,6 Ice,,
1612,Swamp Water,6.2,142,1 shot Lime vodka,1 shot Apricot brandy,,,,
1613,Patti's Blow Job,6.3,47,1/2 oz Kahlua,1/2 oz Bailey's irish cream,,,,
1615,Camen Miranda,2.2,4,2 oz Rum,3 oz Coca-Cola,4 oz Pineapple-orange-banana juice,wedge Lime,Add to taste Club soda,
1616,Cold Shower,8.3,7,,,,,,
1617,Broken down golf cart,5.7,217,0.5 oz Amaretto,0.5 oz Midori melon liqueur,dash Lime juice,,,
1618,Orange Climax,8.8,8,1 oz Peach schnapps,2 oz Pineapple juice,1 oz Orange juice,1/2 oz Jack Daniels,,
1619,Grape ape,7.6,20,1 shot Razzmatazz,1 shot Vodka,1 splash Sprite,Fill Sweet and sour,,
1620,Wet Dream,5.7,15,1/2 oz Amaretto,1/4 oz Blue Curacao,1/4 oz Creme de Banane,1/4 oz Sweet and sour,1 splash Pineapple juice,1/4 oz Chambord raspberry liqueur
1621,JimPop's Margarita,7.3,15,2 oz Tequila,1 oz Lime juice,3/4 oz Grand Marnier,,,
1622,Fishbone,9.1,14,1 oz Malibu rum,1 oz Blue Curacao,1 oz Midori melon liqueur,2 oz Orange juice,2 oz Sour mix,1 oz 7-Up
1623,Three Wise Men,5.9,181,1/3 shot Jack Daniels,1/3 shot Jim Beam,1/3 shot Johnnie Walker,,,
1624,Loud-Mouth,4.2,4,2 parts Southern Comfort,1 part Peach schnapps,,,,
1625,After Five,6.6,115,,,,,,
1626,Andrea's Colada Collision,6.6,19,1 1/2 oz Light rum,3 oz Cream of coconut,6 oz Pineapple juice,1 frozen ripe Banana,,
1627,Urine,6.3,25,2 oz Gin,1 oz Lime juice,3 oz Club soda,,,
1628,Harlee's Planters Punch,8.9,17,1 oz Light rum,2 oz Dark rum,2 oz Orange juice,2 oz Pineapple juice,1/2 oz Grenadine,1/2 oz Bacardi 151 proof rum
1629,Don's Bloody Mary,5.3,14,1 jigger Vodka,1 dash Worcestershire sauce,1 dash Tabasco sauce,1/8 tsp Horseradish,1 slice Lime,
1630,Brandy Manhattan,9.2,29,1 tsp Maraschino cherry juice,1 Maraschino cherry,2 dashes Bitters,1/2 oz Sweet Vermouth,2 oz Brandy,1 splash Water
1631,Pink Elephant Ears,8.0,9,1 pint Vodka,2 cans Pink lemonade,1 Lime,Lots Ice,,
1632,Banshe,8.1,8,1 shot Irish whiskey,1 shot Irish Mist,,,,
1633,Southern Sunrise,8.6,9,2 cl Southern Comfort,1 cl Grenadine,1 cl Lemon juice,2 cl Orange juice,,
1634,Midnight Manx,7.2,4,1 oz Kahlua,1 oz Bailey's irish cream,dash Goldschlager,2 oz Heavy cream,2 oz Hazlenut Coffee,
1635,Eye of the Storm,8.6,12,7 oz Spiced rum,10 oz Coca-Cola,1 oz Lime juice,,,
1636,Nazi Helmet,8.1,18,1/2 shot Jägermeister,1/2 shot Rumple Minze,,,,
1638,Wisconsin Lunchbucket,6.1,67,1/4 glass Beer,1/4 glass Orange juice,1 shot Amaretto,,,
1639,Jamaican Dust-Buster,5.9,22,1 part Rum,2 parts Pineapple juice,1 part Kahlua,,,
1640,Kir Royale,6.4,377,1 part Creme de Cassis,5 parts Champagne,,,,
1641,Manhattan,6.2,946,3/4 oz Sweet Vermouth,2 1/2 oz Blended Bourbon,dash Angostura bitters,2 or 3 Ice,1 Maraschino cherry,1 twist of Orange peel
1642,Lash,8.3,26,1.5 oz Vodka,"1,5 oz Amaretto",Full glass Ice,Remainder Sprite,,
1644,The James Robert Dean,10.0,1,5 L Vodka,5 L Dark rum,1/2 L Pepsi Cola,10 L Gin,3 L Orangina Orange soda,
1645,Jackhammer,6.2,144,1 oz Jack Daniels,1 oz Amaretto,,,,
1646,Midori Sour - Frozen,6.4,225,2 oz Midori melon liqueur,6 - 8 oz Sour mix,1/2 tsp Sugar,,,
1647,Flaming Dr. Pepper (alternative),6.0,289,1/2 oz Amaretto,1/2 oz Bacardi 151 proof rum,6 oz Lager,,,
1648,Flaming Jesse or Tropical SunShine,7.1,21,1 oz Malibu rum,1/2 oz Vodka,1/2 oz Bailey's irish cream,4-6 oz Orange juice,,
1650,L&C,7.8,4,8 oz Pineapple,3 oz Finlandia Pineapple vodka,2 oz Malibu rum,To fill blender Ice,Garnish Maraschino cherry,
1651,Pineberry,4.0,3,1 shot Finlandia Cranberry vodka,1 shot Finlandia Pineapple vodka,wedge fresh Lemon,,,
1652,Nutty Irishman,6.3,200,1 part Bailey's irish cream,1 part Frangelico,1 part Milk,,,
1653,Greazy Deigo,3.2,4,12 oz Zima,2 shots Bacardi 151 proof rum,Mango Kool-Aid,,,
1654,Harley Davidson #1,7.7,15,1/2 oz Bailey's irish cream,1/2 oz Midori melon liqueur,Topper Jägermeister,,,
1655,Carmel Coke,8.2,23,1 shot Butterscotch schnapps,6 oz Coca-Cola,,,,
1656,Modified Duck Fart,7.9,20,3/4 oz Crown Royal,3/4 oz Bailey's irish cream,3/4 oz Kahlua,,,
1657,Vit Ryss,8.5,28,4 cl Vodka,2 cl Kahlua,14 cl Milk,,,
1658,Windex,6.4,75,2 1/2 oz Vodka,1/2 oz Triple sec,1/2 oz Blue Curacao,,,
1659,Five dollar shake,6.2,10,50 ml Midori melon liqueur,50 ml Peach schnapps,330 ml Hoopers Hooch,,,
1660,Neon Ghost,7.1,10,3 cl Vodka,3 cl Pisang Ambon,,,,
1661,Buttery Nipple #2,6.0,351,1/2 shot Butterscotch schnapps,1/2 shot Irish cream,,,,
1662,Gold Driver,7.0,14,1 fifth Gold tequila,1 thing Orange juice,1 Lime,Some Ice,,
1663,Iron Hindu,7.7,7,3 oz Cognac,1 1/2 oz Vanilla schnapps,1 1/2 oz Apricot brandy,5 1/2 oz Apricot nectar,2 oz Heavy cream,Ground green Cardamom
1664,Strawberry Storm,6.7,6,30 ml Kahlua,45 ml Strawberry liqueur,90 ml Pineapple juice,Float 30-45 ml Cream,,
1665,Aranov,5.7,21,2/3 L Vodka,1/3 L Orange juice,,,,
1666,Grateful Dead #1,6.3,332,1/2 oz Tequila,1/2 oz Rum,1/2 oz Vodka,1/2 oz Gin,1/2 oz Triple sec,1 oz Sour mix
1667,Lemon Drop #1,6.0,325,1 shot Absolut Citron,1 slice Lemon,1 tsp Sugar,,,
1669,Chocolate Raspberry Delight,5.8,31,1 1/2 oz Bailey's irish cream,1 1/2 oz Chambord raspberry liqueur,,,,
1670,Pineapple Tea,6.8,6,1/2 oz Tequila,1/2 oz Rum,1/2 oz Vodka,1/2 oz Gin,1/2 oz Triple sec,1 oz Sour mix
1671,3 Wise Men,6.2,184,1/3 oz Jack Daniels,1/3 oz Johnnie Walker,1/3 oz Jim Beam,,,
1672,Mountain Dew #1,5.4,7,1/2 glass Beer,1/2 glass 7-Up,1 oz Midori melon liqueur,,,
1673,The Breakfast Drink,7.9,7,1 cup Vodka,1 cup Peachtree schnapps,1 gal Orange juice,1/2 cup Chambord raspberry liqueur,3 bottles Collins mix,
1674,"Irish Cream, Home Made",9.6,13,1 can sweetened Condensed milk,1 cup Cream,3 Egg,1 tblsp Chocolate syrup,1 cup Rye whiskey,
1676,Lloyd Special,6.8,9,2/3 oz Jack Daniels,1/3 oz Grand Marnier,,,,
1677,Canadian Funky Electric Cider,8.5,11,3/4 oz Canadian whisky,2 1/2 oz Canadian Apple cider,,,,
1678,The Boiling Panther,8.9,14,2 shots Spiced rum,Fill glass Dr. Pepper,,,,
1679,Jersey Devil,6.5,10,1 gal Cranberry juice,2 qt Apple cider,1 qt Applejack,1 Apple,,
1680,Fat Hooker,7.0,56,1 oz Vodka,1/2 oz Peach schnapps,1/2 oz Malibu rum,Fill with Orange juice,,
1681,Galliano Hotshot,6.1,40,2 parts Galliano,2 parts hot Coffee,1 part Heavy cream,1 pinch Nutmeg,,
1682,Blue Blazer,5.4,19,2 oz Whisky,6 oz Water,,,,
1683,Tanqueray and Tonic,6.3,178,2/3 Gin,1/3 Tonic water,1 slice Lime,,,
1685,Butterfinger,6.7,87,1 1/2 oz Butterscotch schnapps,1 1/2 oz Bailey's irish cream,2 parts Milk,,,
1686,Dead green frog,8.9,17,1/5 oz Rumple Minze,1/5 oz Kahlua,1/5 oz Green Creme de Menthe,1/5 oz Bailey's irish cream,1/5 oz Vodka,
1687,Hot Damn,6.0,43,1/2 oz Whiskey,2 oz Orange juice,1 oz Rum,1 oz Vodka,,
1688,Bloody Brain,5.9,361,3/4 oz Peach schnapps,A float of Bailey's irish cream,Several drop Grenadine,,,
1689,Fart In the Ocean,3.7,17,2 oz Tequila,4 oz 7-Up,,,,
1690,Miami Vice,6.4,280,5 oz Bacardi 151 proof rum,frozen Pina colada mix,frozen Daiquiri mix,,,
1691,AT&T,6.3,24,1 oz Absolut Vodka,1 oz Gin,4 oz Tonic water,,,
1692,69 Special,6.3,125,2 oz dry Gin,4 oz 7-Up,0.75 oz Lemon juice,,,
1693,Machine,6.5,46,1 oz Orange juice,1/2 oz Vodka,,,,
1694,Golden Eye,5.3,6,1 oz Bailey's irish cream,1 oz Goldschlager,,,,
1695,Joe Cocker,7.2,12,1 part Amaretto,1 part Southern Comfort,1 part Crown Royal,1 part Jack Daniels,,
1696,Nuts and Berries #1,6.3,128,1 oz Chambord raspberry liqueur,1 oz Frangelico,Add 3 oz Milk,,,
1697,John's Bomb,9.0,2,1 1/2 oz Tequila,1/2 oz Benedictine,1 slice Orange,,,
1699,South Side,6.8,36,1-2 oz Vodka,1/2 oz Triple sec,2 oz Lime juice,Some Mint,1-2 oz Soda water,
1700,Cherry Martinsen,8.2,16,4 oz Cherry brandy,8 oz Coca-Cola,,,,
1701,Pink Police,8.1,21,12 oz Beer,12 oz frozen Pink lemonade,12 oz Vodka,,,
1702,French Pirate,6.3,3,1/2 oz Orange Curacao,1 oz Dark rum,Fill glass Champagne,,,
1703,Muppet,6.4,51,1/2 part Tequila,1/2 part 7-Up,,,,
1704,Bushwacker #3,5.2,57,,,,,,
1705,Four Horsemen,6.1,110,3/4 oz Gold tequila,3/4 oz Jägermeister,3/4 oz Rumple Minze,3/4 oz Bacardi 151 proof rum,,
1706,Dublin Doubler,7.5,11,1 1/2 oz Irish whiskey,1 1/2 oz Irish cream,,,,
1707,Irish Coffee (Simple),6.4,592,1 1/2 oz Irish whiskey,8 oz Coffee,1 tsp Sugar,1 tblsp Whipped cream,,
1708,Kahlua Fudge Shake,6.3,1500,2-4 oz Kahlua,3 scoops fudge Ice-cream,3 oz Milk,,,
1709,Afterburner #2,5.6,175,1 oz Vodka,1/2 oz Tabasco sauce,,,,
1710,Partymeister,7.2,6,2 cl Gin,2 cl Malibu rum,Fill up with Lemonade,,,
1711,Mocha Mint Irish Cream Cappuccino,9.0,5,1 tblsp Chocolate syrup,1 tsp White Creme de Menthe,1 tsp Creme de Cacao,1 shot Irish cream,Top with steamed Milk,Garnish with Whipped cream
1712,Ersh,5.1,15,1 part Vodka,1 part Beer,,,,
1713,Ekatherina Andreevna,6.7,3,1/4 Stoli Vodka,1/4 Bourbon,1/2 Orange juice,,,
1714,Crack Juice,6.2,28,1 bottle Vodka,8 cans Beer,2 cans frozen Lime juice,,,
1715,Screaming Orgasm II,5.2,56,1 shot Amaretto,1 shot Bailey's irish cream,1 shot Vodka,,,
1717,Burning Nazi,6.3,50,1/2 oz Jägermeister,1/2 oz Rumple Minze,,,,
1718,Spicey Scot,6.0,5,1/2 oz Butterscotch schnapps,1/2 oz Spiced rum,3 oz Hot chocolate,,,
1719,Apple Pie Shot #1,6.6,34,1 shot Apple juice,1 shot Vodka,A dash of Cinnamon,,,
1720,Fuzzy Navel,5.6,70,1/3 Peach schnapps,1/3 Orange juice,1/3 Lemonade,,,
1721,Chocolate Chip,9.1,17,1/2 oz white Creme de Cacao,1/2 oz Dark Creme de Cacao,1/2 oz Irish cream,1 1/2 oz Milk,,
1722,Tequillya,6.0,6,1 oz Tequila,1 oz White rum,1 oz Vodka,3 oz Margarita mix,,
1723,Whiskey Sour Old-Fashioned,6.4,140,1.5 oz Whiskey,5 oz Sour mix,1 tblsp Maraschino cherry juice,2 dashes Bitters,,
1724,Toolkit,6.3,3,1 part Creme de Cacao,1 part Irish cream,1 part Amaretto,1 part Kahlua,,
1725,Big Red Hooter,6.1,48,1 oz Tequila,3/4 oz Amaretto,1 oz Grenadine,,,
1726,Catalina Margarita,8.2,19,1 1/2 oz Tequila,1 oz Peach schnapps,1 oz Blue Curacao,4 oz Sour mix,,
1727,Sloe Tequila,5.2,4,1 oz Tequila,1/2 oz Sloe gin,1 tblsp Lime juice,,,
1728,Tijuana Taxi,8.0,7,2 oz Gold tequila,1 oz Blue Curacao,1 oz Tropical fruit schnapps,,,
1729,Wild Thing,3.2,8,1 1/2 oz Tequila,1 oz Cranberry juice,1 oz Club soda,1/2 oz Lime juice,,
1730,Fraustadt,8.4,10,2 cl Absolut Vodka,2 cl Cointreau,2 cl Midori melon liqueur,Fill with Lemon juice,,
1731,Mudwrestle,7.8,8,2 oz Tia maria,2 oz Vodka,2 oz Creme de Cacao,2 oz Bailey's irish cream,,
1733,Pineapple Bomb,7.2,13,1 part Southern Comfort,1 part Triple sec,1 part Pineapple juice,,,
1734,Fin N' Tonic,5.7,10,1 oz Gin,1 oz Peppermint schnapps,1 oz Tonic water,,,
1735,Kurant,7.8,11,4 cl Absolut Kurant,Fill with Schweppes Russchian,Some Ice,,,
1736,'57 Chevy with a White License Plate,6.2,94,1 oz white Creme de Cacao,1 oz Vodka,,,,
1737,Beelzebub,4.9,23,1 bottle Cointreau,1 bottle Vodka,3 tblsp Chili sauce,,,
1738,Desert Water,4.0,10,1 oz Tabasco sauce,Fill with 1 oz Tequila,,,,
1739,Cape Cod Crush,5.5,16,2 1/2 oz Southern Comfort,Fill with Cranberry juice,Blend with Ice,,,
1740,Sweet Flower,7.5,6,1/3 Peach liqueur,1/2 Orange juice,1/6 Lemon juice,1 tsp Grenadine,,
1741,Sweet Temptation,8.0,11,1 1/2 cl Triple sec,1/2 cl Peachtree schnapps,Add 11-13 cl Sprite,Fizz on top 2-4 cl Sour mix,1 slice Lime,
1742,Violent fuck,6.3,131,1 oz Curacao,1/2 oz Sloe gin,Fill 1/2 Sour mix,Fill 1/2 Orange juice,,
1743,Fuzzy Chartreuse,5.2,6,3 shots Midori melon liqueur,crushed Ice,,,,
1744,Chapman,6.8,6,3 cl Pisang Ambon,,,,,
1745,Bloody O.J.,4.2,16,1 part Bourbon,1 part Orange juice,1 part Tomato juice,1 dash Soda water,2 cubes crushed Ice,
1746,Dead Dog Vomit,3.5,34,1 oz 151 proof rum,Layer 1 oz Tequila,Layer 1 oz Jägermeister,,,
1747,Stabilizer,5.5,2,3/4 oz Bacardi 151 proof rum,3/4 oz Rumple Minze,,,,
1748,Mother's Milk,6.3,7,1 oz Goldschlager,1 oz Butterscotch schnapps,1 oz Milk,,,
1749,The Triple,5.3,7,1/3 shot Vodka,1/2 shot Jägermeister,1/2 shot Goldschlager,,,
1750,Sinfonian,6.5,59,,,,,,
1751,Dickhead's Delight,6.1,17,1 oz Kahlua,1 oz Rum,4 oz Chocolate milk,1 pinch Cinnamon,1 splash Whipped cream,
1752,Kilted Black Leprechaun,7.0,7,1 part Bailey's irish cream,1 part Malibu rum,1 part Drambuie,,,
